H,Betriebszeit_-,Pers/m2,Qi Sommer W/m²,Qi Winter W/m²,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_W_m2,Abwärme W/m²
6423,1,0.030420516,7.087248271,3.543624136,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.78851874,1.21764485
6424,1,0.030420516,7.09006734,3.54503367,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.649248026,1.025640326
6425,1,0.030420516,7.454706941,3.72735347,0.474751742,0.07,2.222197761,0.57570615,0.2,0,2.84470727,1.013357208
6426,1,0.030420516,8.003052341,4.001526171,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.392665495,0.969396576
6427,0.932043871,0.025890108,9.976288888,4.988144444,0.372817549,0.07,2.497698431,0.425493664,0.2,0,3.648378755,0.953881059
6428,0.932043871,0.025890108,9.837421227,4.918710614,0.372817549,0.07,1.984611679,0.425493664,0.2,0,3.309550136,0.624822802
6429,0.932043871,0.025890108,8.615887805,4.307943903,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.077112116,0.654237636
6430,0.932043871,0.025890108,7.890192285,3.945096142,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.688114603,0.583771329
6431,0.932043871,0.025890108,5.569233229,2.784616615,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.007128834,0.563083973
6432,0.932043871,0.025890108,4.100688393,2.050344197,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.360720621,0.519123342
6433,0.932043871,0.025890108,3.476231878,1.738115939,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.025990662,0.517183902
6434,0.932043871,0.025890108,3.30063148,1.65031574,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.931862869,0.516860662
6435,0.932043871,0.025890108,3.258523221,1.629261611,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.909291408,0.538194498
6436,0.932043871,0.025890108,3.292568196,1.646284098,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.927540674,0.747653978
6437,0.932043871,0.025890108,3.599868892,1.799934446,0.474751742,0.07,1.590317968,0.425493664,0.2,0,1.092264312,1.468802282
6438,1,0.030420516,5.616953712,2.808476856,0.474751742,0.07,2.37890539,0.57570615,0.2,0,1.866417388,1.282939317
6439,1,0.030420516,8.197556256,4.098778128,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.573336325,1.326576709
6440,1,0.030420516,9.26319953,4.631599765,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.722211916,1.208270891
6441,1,0.030420516,8.420640435,4.210320217,0.474751742,0.07,3.286285853,0.57570615,0.2,0,2.957307864,1.179502537
6442,1,0.030420516,8.01824087,4.009120435,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.146780647,1.199220173
6443,1,0.030420516,8.061245049,4.030622524,0.474751742,0.07,1.82790405,0.57570615,0.2,0,3.169832352,1.174653938
