;LadeLeistungAuﬂenstehende;LadeLeistungExterneStationen;buildingDemandHourly;carDemandHourly;eMobilityCharge;eMobilityDischarge;fahrverbrauchLokal;fahrverbrauchNetz;gridChargingHourly;pvChargingHourly;resLastAfterEMobility;resLastAfterZureisende;resLastBeforeEMobility
3536;23,15924441217024;0;0,0;99,95661514424943;19,334167618089765;0,0;4,7717974116933535;95,18481773255608;385,66583238191026;19,334167618089765;-106,56870632291023;-83,40946191073999;-125,902873941
3537;31,16697581092069;0;0,0;60,88512450948514;25,556838074963537;0,0;6,483463617762106;54,40166089172303;214,44316192503646;25,556838074963537;-180,87016092603648;-149,7031851151158;-206,426999001
3538;49,317105353613044;0;0,0;63,46898834052885;20,903470714339676;0,0;11,056017825375095;52,41297051515376;99,0965292856603;20,903470714339676;-227,04337263366034;-177,7262672800473;-247,94684334800002
3539;50,204986052653226;0;0,0;49,73216251150257;35,35775153190255;0,0;16,746832811675304;32,98532969982727;69,64224846809743;35,35775153190255;-233,07244742909742;-182,8674613764442;-268,430198961
3540;50,20264952449784;0;0,0;41,59400178054942;33,47551916639884;0,0;11,603173365100083;29,99082841544934;86,52448083360113;33,47551916639884;-225,64471781760113;-175,4420682931033;-259,120236984
3541;50,20265567325626;0;0,0;49,13791048652136;29,49096012200198;0,0;12,0760346553042;37,061875831217165;90,50903987799805;29,49096012200198;-248,44425879399796;-198,2416031207417;-277,93521891599994
3542;50,20265565707527;0;0,0;33,07404245969965;31,511194356971657;0,0;6,948017200788857;26,126025258910794;118,48880564302834;31,511194356971657;-213,04930896002838;-162,84665330295311;-244,56050331700004
3543;50,2026556571178;0;0,0;33,944998069214805;46,77690963180197;0,0;6,616008779730638;27,32898928948417;193,22309036819806;46,77690963180197;-129,23480591919798;-79,03215026208018;-176,01171555099995
3544;0,0;0;0,0;69,99716969532774;38,918852343000026;0,0;8,25518033878902;61,741989356538724;291,08114765700003;38,918852343000026;0,0;0,0;-38,918852343000026
3545;0,0;0;0,0;46,230675478249104;0,0;0,0;0,0;46,230675478249104;465,0;0,0;93,05824046700005;93,05824046700005;93,05824046700005
3546;0,0;0;0,0;28,250759946540487;0,0;0,0;0,0;28,250759946540487;660,0;0,0;210,17841869;210,17841869;210,17841869
3547;0,0;0;0,0;42,231560577366;0,0;0,0;0,0;42,231560577366;810,0;0,0;250,827813672;250,827813672;250,827813672
3548;0,0;0;0,0;35,19320504569423;0,0;0,0;0,0;35,19320504569423;960,0;0,0;251,33199266500003;251,33199266500003;251,33199266500003
3549;0,0;0;0,0;28,253100164824478;0,0;0,0;0,0;28,253100164824478;1050,0;0,0;237,94076576999998;237,94076576999998;237,94076576999998
